Date,altcoin_dollar_oi
12-09-2023,2379608151.46741
13-09-2023,2485124172.2712946
14-09-2023,2550568953.270828
15-09-2023,2671756648.879093
16-09-2023,2662285442.8836145
17-09-2023,2505212432.901728
18-09-2023,2555799759.197936
19-09-2023,2666324430.361532
20-09-2023,2676732053.12391
21-09-2023,2647185629.769267
22-09-2023,2706451760.086194
23-09-2023,2701861557.1167507
24-09-2023,2660040618.9867663
25-09-2023,2754622070.361932
26-09-2023,2805053615.0775056
27-09-2023,2777814422.873228
28-09-2023,2856056888.2511377
29-09-2023,2912659309.8809757
30-09-2023,2976695094.3090262
01-10-2023,3079690116.161027
02-10-2023,2919302082.1429358
03-10-2023,2833164936.780287
